location,lat,lon,asl,variable,unit,level,timeResolution,aggregation,Value
Arunachal Pradesh_cropField#60,13.96702,47.62109,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,3.99
Arunachal Pradesh_cropField#61,15.96324,54.42462,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#62,17.95946,61.22815,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#63,19.95567,68.02940,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#64,21.94962,74.83293,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.6
Arunachal Pradesh_cropField#65,23.94583,81.63644,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.68
Arunachal Pradesh_cropField#66,25.93977,88.43997,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.12
Arunachal Pradesh_cropField#67,27.93599,95.24124,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.48
Assam_cropField#0,0.84480,2.98050,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Assam_cropField#1,1.69154,5.96002,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Assam_cropField#2,2.53828,8.94183,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Assam_cropField#3,3.38275,11.92136,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.75
Assam_cropField#4,4.22949,14.90317,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.88
Assam_cropField#5,5.07396,17.88271,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.87
Assam_cropField#6,5.92070,20.86223,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.09
Assam_cropField#7,6.76516,23.84404,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.75
